7.5039 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
142.7141 	EXP 	fixation: autoDraw = False
142.7141 	EXP 	grating: autoDraw = True
143.0139 	EXP 	grating: autoDraw = False
143.8999 	EXP 	New trial (rep=58, index=0): None
143.9010 	DATA 	Keypress: up
143.9139 	EXP 	fixation: autoDraw = False
143.9139 	EXP 	grating: autoDraw = False
143.9139 	EXP 	grating: ori = 0.0
143.9139 	EXP 	fixation: autoDraw = True
144.9142 	EXP 	fixation: autoDraw = False
144.9142 	EXP 	grating: autoDraw = True
145.2142 	EXP 	grating: autoDraw = False
145.6497 	EXP 	New trial (rep=59, index=0): None
145.6508 	DATA 	Keypress: up
145.6639 	EXP 	fixation: autoDraw = False
145.6639 	EXP 	grating: autoDraw = False
145.6639 	EXP 	grating: ori = 3.0
145.6639 	EXP 	fixation: autoDraw = True
146.6644 	EXP 	fixation: autoDraw = False
146.6644 	EXP 	grating: autoDraw = True
146.9642 	EXP 	grating: autoDraw = False
147.4504 	EXP 	New trial (rep=60, index=0): None
147.4517 	DATA 	Keypress: down
147.4642 	EXP 	fixation: autoDraw = False
147.4642 	EXP 	grating: autoDraw = False
147.4642 	EXP 	grating: ori = 4.0
147.4642 	EXP 	fixation: autoDraw = True
148.4640 	EXP 	fixation: autoDraw = False
148.4640 	EXP 	grating: autoDraw = True
148.7638 	EXP 	grating: autoDraw = False
149.2002 	EXP 	New trial (rep=61, index=0): None
149.2015 	DATA 	Keypress: down
149.2139 	EXP 	fixation: autoDraw = False
149.2139 	EXP 	grating: autoDraw = False
149.2139 	EXP 	grating: ori = 0.0
149.2139 	EXP 	fixation: autoDraw = True
150.2145 	EXP 	fixation: autoDraw = False
